31.12,98.47,1.0
31.13,69.19,1.0
31.14,74.49,1.0
31.17,83.0,1.0
31.18,86.05,1.0
31.18,96.91,1.0
31.19,100.0,1.0
31.2,53.04,1.0
31.22,98.7,1.0
31.25,52.98,1.0
31.3,62.33,1.0
31.31,96.7,1.0
31.32,53.3,1.0
31.33,98.88,1.0
31.35,73.53,1.0
31.37,54.45,1.0
31.37,71.36,1.0
31.42,52.64,1.0
31.43,99.02,1.0
31.46,71.29,1.0
31.52,99.27,1.0
31.55,95.89,1.0
31.56,70.87,1.0
31.58,52.49,1.0
31.59,99.41,1.0
31.6,71.09,1.0
31.67,70.82,1.0
31.67,94.98,1.0
31.76,52.91,1.0
31.76,99.55,1.0
31.79,70.0,1.0
31.79,70.42,1.0
31.79,95.37,1.0
31.82,99.58,1.0
31.89,95.64,1.0
31.91,99.66,1.0
31.92,52.64,1.0
31.92,70.51,1.0
31.95,99.67,1.0
31.96,70.27,1.0
31.97,87.2,1.0
31.99,85.02,1.0
31.99,95.79,1.0
32.01,86.65,1.0
32.01,99.71,1.0
32.04,70.31,1.0
32.07,96.08,1.0
32.08,99.74,1.0
32.1,53.06,1.0
32.11,71.5,1.0
32.13,84.48,1.0
32.15,96.37,1.0
32.15,99.76,1.0
32.17,70.27,1.0
32.17,94.73,1.0
32.19,85.0,1.0
32.2,60.41,1.0
32.2,85.37,1.0
32.25,52.35,1.0
32.26,96.76,1.0
32.3,66.54,1.0
32.31,70.37,1.0
32.34,96.85,1.0
32.37,52.58,1.0
32.37,64.6,1.0
32.41,96.81,1.0
32.43,58.15,1.0
32.44,54.55,1.0
32.44,71.04,1.0
32.5,96.75,1.0
32.59,96.68,1.0
32.61,74.15,1.0
32.66,96.68,1.0
